registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS53075,10.454,4.863
SPUS63912,8.029,4.5
SPUS56056,8.185,5.411
SPUS62275,13.256,5.637
SPUS55830,8.918,4.543
SPUS55946,8.903,5.383
SPUS61751,9.12,4.616
SPUS55755,7.813,5.464
SPUS56306,54.053,4.405
SPUS61912,8.662,109.913
SPUS61518,8.125,5.672
SPUS54889,7.169,5.034
SPUS55643,7.542,4.643
SPUS62248,8.787,6.351
SPUS61453,7.977,5.203
SPUS56335,8.147,4.835
SPUS62722,8.046,5.066
SPUS56394,7.851,4.565
SPUS46287,8.292,5.518
SPUS63653,8.116,5.184
SPUS56243,9.235,5.853
SPUS62462,8.451,5.582
SPUS55776,11.489,5.252
SPUS54773,18.18,4.431
SPUS54725,11.894,5.936
SPUS55746,8.106,7.205
SPUS46319,7.603,5.103
SPUS54776,8.027,4.771
SPUS54751,8.571,4.661
SPUS63890,8.683,4.853
SPUS46684,9.184,5.873
SPUS55029,7.784,5.8
SPUS61353,16.229,4.395
SPUS56488,8.433,5.216
SPUS55754,8.779,5.188
SPUS63873,9.423,35.394
SPUS47363,7.965,6.047
SPUS45972,8.025,4.871
SPUS55134,9.611,4.568
SPUS55259,8.362,4.907
SPUS46045,29.502,4.987
SPUS63973,8.205,5.46
SPUS54982,7.509,4.987
SPUS46709,11.367,4.747
SPUS47397,15.831,6.392
SPUS56025,8.425,5.658
SPUS55564,10.901,5.295
SPUS63945,12.569,4.939
