registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,13.394,4.186
SPUS63654,6.673,4.228
SPUS53075,17.0,4.745
SPUS55016,16.385,5.225
SPUS55623,15.139,4.822
SPUS62584,10.716,4.12
SPUS55026,18.55,13.775
SPUS55656,9.246,14.913
SPUS63912,24.916,4.202
SPUS56056,10.842,4.656
SPUS56452,8.47,4.493
SPUS45858,11.315,9.327
SPUS62275,10.261,4.115
SPUS55830,7.046,4.344
SPUS63637,7.256,4.326
SPUS45783,7.079,7.151
SPUS55946,7.855,4.366
SPUS61751,5.974,4.086
SPUS63743,10.076,7.155
SPUS46575,11.568,5.125
SPUS61369,8.787,6.107
SPUS55755,7.116,4.413
SPUS56306,23.235,6.03
SPUS61912,10.737,5.673
SPUS45788,11.581,4.878
SPUS61518,21.027,7.324
SPUS46500,14.823,4.761
SPUS54889,23.673,4.506
SPUS55397,16.367,4.306
SPUS47097,13.239,4.559
SPUS55568,5.899,5.647
SPUS55919,6.618,4.281
SPUS55643,22.691,8.731
SPUS62248,1114.35,4.665
SPUS46211,13.203,4.129
SPUS63784,13.788,5.543
SPUS61453,7.184,4.296
SPUS47277,6.754,4.345
SPUS56335,7.449,4.966
SPUS62722,9.888,4.141
SPUS62088,4.453,4.573
SPUS56394,12.037,4.621
SPUS54940,10.76,4.828
SPUS61398,6.902,4.508
SPUS63348,16.071,4.358
SPUS46287,10.306,10.775
SPUS61749,6.907,5.48
SPUS56080,10.737,5.387
SPUS46428,6.817,4.572
SPUS63653,7.433,4.52
SPUS56243,7.547,4.567
SPUS62462,7.516,11.46
SPUS55776,11.723,5.033
SPUS54773,29.241,4.005
SPUS54725,8.003,4.767
SPUS56200,5.705,5.321
SPUS63630,8.092,6.587
SPUS61584,23.41,4.442
SPUS55746,14.562,6.994
SPUS46319,10.486,4.252
SPUS61499,10.759,8.432
SPUS46974,14.434,5.574
SPUS61861,11.219,4.399
SPUS54776,44.635,8.546
SPUS55698,7.169,4.249
SPUS52118,6.202,4.036
SPUS54751,14.99,4.48
SPUS55187,18.054,6.089
SPUS46397,12.238,4.214
SPUS63890,13.188,5.004
SPUS46684,25.183,14.751
SPUS55029,27.975,6.298
SPUS61353,11.623,3.94
SPUS56488,5.508,4.795
SPUS55754,11.376,5.738
SPUS63873,18.326,4.077
SPUS55695,11.895,4.283
SPUS47363,10.847,4.742
SPUS56045,8.231,3.726
SPUS61706,11.81,4.02
SPUS45972,4.694,4.378
SPUS61315,9.817,3.646
SPUS55134,6.032,4.816
SPUS56112,8.841,4.086
SPUS55259,9.425,3.085
SPUS60581,7.436,5.055
SPUS46045,5.997,3.678
SPUS54745,11.861,4.064
SPUS61536,19.446,4.43
SPUS63973,10.483,3.969
SPUS54982,12.823,5.062
SPUS46709,8.097,4.282
SPUS47397,24.045,4.935
SPUS63700,9.052,4.914
SPUS55781,8.329,4.105
SPUS56025,11.174,3.951
SPUS55564,6.994,3.774
SPUS63945,25.761,4.127
SPUS56326,8.156,5.153
