registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,80.541,17.523
SPUS63654,71.477,12.208
SPUS53075,89.012,18.416
SPUS55016,79.32,15.48
SPUS55623,88.239,13.565
SPUS62584,102.878,19.098
SPUS55026,70.866,17.794
SPUS55656,113.031,11.742
SPUS63912,86.754,12.289
SPUS56056,91.246,18.348
SPUS56452,30.761,13.806
SPUS45858,78.709,9.378
SPUS62275,67.672,16.063
SPUS55830,34.802,13.087
