registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,8.535,6.619
SPUS47277,6.676,5.549
SPUS56265,20.03,8.36
SPUS55727,8.458,5.298
SPUS56040,5.422,6.266
SPUS46974,9.569,6.676
SPUS55123,11.09,18.128
SPUS55193,11.209,12.35
SPUS61864,6.17,9.068
SPUS56341,26.628,6.475
SPUS55980,7.986,5.144
SPUS55741,8.018,6.853
SPUS54900,8.488,7.538
SPUS54507,6.106,4.909
SPUS55119,11.492,8.003
SPUS55785,6.359,6.474
SPUS47251,7.677,5.933
SPUS46459,13.418,7.055
SPUS56292,7.277,8.181
SPUS62518,14.017,5.464
SPUS63724,8.736,12.643
SPUS45715,13.13,7.843
SPUS56196,13.113,5.594
SPUS55225,8.602,6.926
SPUS56306,7.108,5.541
SPUS54792,10.726,9.084
SPUS56218,5.422,6.201
SPUS62922,20.159,6.721
SPUS61359,6.319,6.794
SPUS55704,21.261,5.563
SPUS46500,6.138,7.582
SPUS46542,9.114,5.059
SPUS55553,11.812,6.061
SPUS62593,21.683,5.461
SPUS47160,9.98,5.646
SPUS56202,27.891,6.858
SPUS55249,6.886,7.108
SPUS61296,6.397,6.133
SPUS55164,8.082,7.224
SPUS55598,7.624,9.224
SPUS54863,12.265,6.481
SPUS55965,6.382,5.597
SPUS62458,18.651,5.365
SPUS56105,7.114,8.87
SPUS55313,7.944,5.757
SPUS55898,10.869,4.99
SPUS56438,10.326,6.159
SPUS63628,24.998,6.88
SPUS61567,6.221,6.419
SPUS45926,17.854,6.536
SPUS47097,5.169,9.964
SPUS55493,7.492,6.13
SPUS42069,12.202,6.559
SPUS61581,9.153,7.128
SPUS56101,11.761,5.753
SPUS46249,5.21,6.657
SPUS54939,6.384,6.259
SPUS55372,5.231,5.488
SPUS54980,8.341,10.015
SPUS61364,8.035,6.206
SPUS56450,17.974,6.809
SPUS61811,16.75,6.847
SPUS61323,9.6,9.023
SPUS45857,7.193,6.398
SPUS55702,7.232,5.636
SPUS62225,7.273,6.323
SPUS55459,8.162,6.246
SPUS45978,4.963,6.657
SPUS61371,4.803,5.065
SPUS62654,4.628,5.746
SPUS55760,5.669,4.936
SPUS61518,8.086,5.598
SPUS45776,7.583,9.282
SPUS55846,11.497,5.976
SPUS55667,5.612,5.139
SPUS62005,14.752,10.029
SPUS55077,12.901,6.992
SPUS61901,19.855,5.269
SPUS55790,16.678,7.669
SPUS61696,8.733,7.286
SPUS55677,7.583,7.101
SPUS62722,16.054,7.317
SPUS55342,84.224,6.933
SPUS46284,20.135,5.587
SPUS61545,10.04,6.754
SPUS55208,8.361,6.886
SPUS60880,6.917,8.058
SPUS46413,8.002,6.939
SPUS63999,21.277,5.29
SPUS55827,10.719,6.321
SPUS46397,9.384,8.32
SPUS62482,6.063,6.22
SPUS54826,14.324,5.382
SPUS63159,28.787,7.433
SPUS61610,6.924,5.521
