registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,7.504,4.795
SPUS47277,7.06,25.081
SPUS56265,9.706,6.353
SPUS55727,7.251,5.428
SPUS56040,8.9,5.75
SPUS46974,7.576,6.101
SPUS55123,11.051,6.152
SPUS55193,35.722,6.245
SPUS61864,8.997,5.105
SPUS56341,8.696,5.93
SPUS55520,20.875,5.209
SPUS55980,9.236,5.91
SPUS55741,10.893,6.71
SPUS54900,8.639,5.677
SPUS54507,8.895,5.727
SPUS55119,15.435,5.654
SPUS55785,22.794,4.538
SPUS47251,8.231,5.98
SPUS46459,7.935,5.936
SPUS56292,29.994,7.545
SPUS62518,10.348,12.68
SPUS63724,18.726,5.928
SPUS45715,9.626,28.649
SPUS56196,9.165,17.442
SPUS55225,9.274,9.136
SPUS56306,9.18,5.973
SPUS54792,10.414,10.942
SPUS56218,8.795,6.133
SPUS62922,8.999,6.549
SPUS61359,9.511,6.443
SPUS55704,26.099,6.132
SPUS46500,9.371,5.275
SPUS46542,25.872,5.709
SPUS55553,8.813,5.119
SPUS62593,9.339,11.938
SPUS47160,9.838,5.775
SPUS56202,10.365,7.259
SPUS55249,22.164,5.264
SPUS61296,59.431,5.577
SPUS55164,20.874,5.695
SPUS55598,66.273,7.875
SPUS54863,80.659,5.544
SPUS55965,9.564,18.885
SPUS62458,10.142,6.8
SPUS61707,11.719,22.561
SPUS56105,10.117,6.174
SPUS55313,11.206,6.163
SPUS55898,9.853,6.282
SPUS56438,8.834,5.833
SPUS63628,21.206,8.846
SPUS61567,9.03,5.623
SPUS45926,15.076,6.88
SPUS47097,9.039,6.432
SPUS55493,9.62,6.377
SPUS42069,9.187,6.168
SPUS61581,9.751,5.51
SPUS56101,9.791,6.335
SPUS46249,9.284,6.859
SPUS54939,9.261,6.438
SPUS55372,12.303,6.995
SPUS54980,10.788,7.616
SPUS61364,10.306,5.83
SPUS56450,9.736,5.7
SPUS61811,11.39,7.521
SPUS61323,9.156,5.695
SPUS45857,9.08,6.586
SPUS62225,11.9,7.984
SPUS45978,9.209,7.45
SPUS61371,10.171,6.704
SPUS62654,8.923,5.093
SPUS55760,8.896,6.566
SPUS61518,9.307,6.407
SPUS44045,9.053,6.827
SPUS45776,8.456,6.37
SPUS55846,11.157,10.228
SPUS55667,10.418,7.91
SPUS47456,17.007,8.715
SPUS46488,20.987,46.286
SPUS62005,10.375,7.847
SPUS55077,9.63,6.369
SPUS61901,11.213,5.789
SPUS55790,11.536,9.446
SPUS61696,35.335,5.911
SPUS55677,9.816,6.017
SPUS62722,8.447,51.276
SPUS55342,9.905,5.918
SPUS46284,10.393,5.71
SPUS61545,9.806,6.867
SPUS55208,11.051,6.402
SPUS60880,20.32,5.94
SPUS46413,15.293,5.78
SPUS63999,9.47,7.603
SPUS55827,19.491,8.547
SPUS46397,9.565,6.494
SPUS62482,9.479,6.186
SPUS54826,8.443,6.782
SPUS63159,8.964,27.957
