registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,11.658,6.724
SPUS63654,9.325,4.965
SPUS53075,15.645,11.133
SPUS55016,8.36,6.006
SPUS55623,9.554,6.12
SPUS62584,11.34,7.431
SPUS55026,9.032,7.013
SPUS55656,11.675,8.473
SPUS63912,15.351,7.579
SPUS56056,16.636,8.985
SPUS56452,7.431,6.455
SPUS45858,9.719,6.197
